Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Female,18-21,3,2,"Fiction, Mystery, Adventure, Fantasy, Romance","Rebellion, Vengeance, Love (romance)","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Night","Weekly, once",At home,"Print book, Applications","Online, places like Amazon, Book Orders/Book Fairs from school",Friends,None
Male,18-21,4,4,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi","Survival, Coming of age, Suffering, Moral ambiguity","Recommendations from a friend, Enjoyment","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, > 60 minutes",Other,"E-book, Applications, Websites",Other,"Online/Social Media, Friends, I like to browse books on my own",The Beginning After The End - Turtleme [webnovel] ; Omniscient Readers Viewpoint [webnovel]
Female,18-21,2,0,"Fiction, Mystery, Fantasy, Romance","Love (romance), Survival","Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot",Plot focused,Morning,I don't prefer reading,At home,"Applications, Websites","Online, places like Amazon","Online/Social Media, Friends",Chetan Bhagat novels
Female,18-21,3,0,"Mystery, Adventure, Fantasy","Rebellion, Power and corruption, Moral ambiguity","Personality Development, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot",Plot focused,Night,"Weekly, thrice",At home,"Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school",I like to browse books on my own,None
Female,18-21,4,4,"Fiction, Mystery, Fantasy, Romance","Love (romance), Coming of age, Moral ambiguity","Recommendations from a friend, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes, Other",Character focused,Afternoon,"Weekly, once","In a library, At home, Other","E-book, Newspaper, Applications",Other,"Online/Social Media, Ads on TV/Computer",A Thousand Splendid Suns - Khaled Hosseini
Female,21-24,3,4,"Fiction, Mystery, Adventure, Fantasy, Comics, Sci-Fi","Rebellion, Vengeance, Survival, Moral ambiguity","Recommendations from a friend, Personality Development","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Morning, Evening","Weekly, once","While commuting, At home",Print book,"Online, places like Amazon","Online/Social Media, Friends",Lal saalam
Male,18-21,3,3,"Fiction, Mystery, Adventure, Other","Rebellion, Survival","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue",Character focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends",Percy Jackson
Male,21-24,2,1,Other,Other,"Personality Development, Enjoyment","Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,I don't prefer reading,At home,"E-book, Websites",Other,Other,None
Male,18-21,4,3,"Mystery, Sci-Fi, Self Help","Survival, Coming of age","Recommendations from a friend, Personality Development","Witty or believable dialogue, Interesting character arcs",Character focused,Afternoon,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon","Online/Social Media, Friends",The Alchemist
Female,18-21,4,5,"Biography, Romance, Self Help","Love (romance), Survival, Power and corruption","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs",Plot focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends",Steve jobs
Male,18-21,3,2,Fiction,Love (romance),School/College Assignments,Interesting character arcs,Plot focused,Night,"Weekly, once",At home,Print book,"Online, places like Amazon",Online/Social Media,Charlie and chocolate factory
Male,18-21,3,0,"Fiction, Adventure, Biography, Fantasy, Comics, Self Help","Rebellion, Vengeance, Love (romance), Power and corruption, Moral ambiguity","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment","Complicated or multi-step plot, Exciting action scenes",Plot focused,Morning,"Daily, <30 minutes","At home, Other","Print book, E-book, Newspaper, Applications, Websites","Online, places like Amazon","Online/Social Media, Friends, Ads on TV/Computer",None
Female,18-21,2,0,"Mystery, Romance, Other","Rebellion, Love (romance), Coming of age",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,I don't prefer reading,At home,E-book,"Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",None
Male,18-21,4,0,"Fiction, Mystery, Adventure, Sci-Fi","Rebellion, Coming of age, Power and corruption","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Weekly, thrice","While commuting, At home",E-book,Other,Friends,The Night Circus
Male,21-24,1,0,"Fiction, Mystery, Adventure","Rebellion, Vengeance, Survival, Coming of age",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Evening, Night",I don't prefer reading,"In a library, At home",Print book,"Online, places like Amazon","Online/Social Media, Friends",The Alchemist
Male,18-21,2,1,"Fiction, Mystery, Fantasy, Sci-Fi","Rebellion, Power and corruption",School/College Assignments,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,Night,"Daily, <30 minutes",At home,"Print book, E-book, Magazines, Newspaper, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",None
